id,dupe_flag
100031402,TRUE
100031412,TRUE
100031521,TRUE
100031523,TRUE
100031525,TRUE
100031588,TRUE
100031639,TRUE
100031645,TRUE
100031653,TRUE
100031669,TRUE
100031783,TRUE
100031976,TRUE
100032115,TRUE
100032505,TRUE
100032797,TRUE
100032799,TRUE
100032982,TRUE
100032988,TRUE
100032990,TRUE
100032992,TRUE
100032994,TRUE
100032998,TRUE
100033000,TRUE
100033093,TRUE
100033153,TRUE
100033155,TRUE
100033504,TRUE
100033506,TRUE
100033512,TRUE
100033514,TRUE
100033516,TRUE
100033518,TRUE
100033520,TRUE
100033522,TRUE
100033526,TRUE
100033528,TRUE
100033530,TRUE
100033532,TRUE
100033534,TRUE
100033536,TRUE
100033537,TRUE
100033538,TRUE
100033542,TRUE
100033544,TRUE
100033546,TRUE
100033689,TRUE
100033807,TRUE
100033809,TRUE
100034339,TRUE
100034505,TRUE
100034507,TRUE
100035276,TRUE
100035339,TRUE
100035833,TRUE
100035835,TRUE
100035881,TRUE
100035882,TRUE
100035883,TRUE
100036326,TRUE
100037285,TRUE
100037292,TRUE
100037300,TRUE
100037305,TRUE
100037312,TRUE
100037313,TRUE
100037315,TRUE
100037320,TRUE
100037325,TRUE
100037393,TRUE
100037424,TRUE
100037431,TRUE
100037432,TRUE
100037437,TRUE
100037470,TRUE
100037471,TRUE
100037472,TRUE
100037477,TRUE
100037478,TRUE
100037483,TRUE
100037498,TRUE
100037915,TRUE
100037916,TRUE
100038069,TRUE
100038070,TRUE
100038071,TRUE
100038072,TRUE
100038551,TRUE
100038856,TRUE
100039283,TRUE
100039285,TRUE
100039729,TRUE
100039731,TRUE
100040136,TRUE
100040148,TRUE
100040453,TRUE
100040454,TRUE
100040455,TRUE
100040458,TRUE
100040459,TRUE
100040460,TRUE
100040464,TRUE
100040468,TRUE
100040469,TRUE
100040470,TRUE
100040521,TRUE
100040523,TRUE
100041200,TRUE
100041204,TRUE
100041205,TRUE
100041209,TRUE
100041224,TRUE
100041228,TRUE
100042407,TRUE
100042419,TRUE
100043643,TRUE
100043644,TRUE
100043794,TRUE
100043796,TRUE
100043804,TRUE
100043812,TRUE
100043826,TRUE
100043828,TRUE
100043862,TRUE
100043864,TRUE
100043952,TRUE
100043960,TRUE
100044123,TRUE
100044127,TRUE
100044129,TRUE
100044139,TRUE
100044161,TRUE
100044163,TRUE
100044169,TRUE
100044171,TRUE
100044177,TRUE
100044187,TRUE
100044191,TRUE
100044217,TRUE
100044223,TRUE
100044231,TRUE
100044233,TRUE
100044241,TRUE
100044247,TRUE
100044249,TRUE
100044257,TRUE
100044263,TRUE
100044521,TRUE
100044537,TRUE
100044547,TRUE
100044551,TRUE
100044571,TRUE
100044573,TRUE
100044575,TRUE
100044645,TRUE
100044673,TRUE
100044681,TRUE
100044685,TRUE
100044689,TRUE
100044697,TRUE
100044715,TRUE
100044719,TRUE
100044721,TRUE
100044727,TRUE
100044729,TRUE
100044731,TRUE
100044735,TRUE
100045073,TRUE
100045075,TRUE
100045563,TRUE
100045565,TRUE
100045605,TRUE
100045607,TRUE
100045667,TRUE
100045669,TRUE
100045671,TRUE
100045673,TRUE
100045675,TRUE
100045677,TRUE
100045683,TRUE
100045685,TRUE
100045687,TRUE
100045689,TRUE
100045703,TRUE
100045705,TRUE
100046693,TRUE
100046696,TRUE
100046699,TRUE
100046701,TRUE
100046703,TRUE
100046705,TRUE
100046709,TRUE
100047532,TRUE
100047534,TRUE
100047538,TRUE
100047548,TRUE
100047552,TRUE
100047554,TRUE
100047556,TRUE
100047558,TRUE
100047562,TRUE
100047564,TRUE
100047566,TRUE
100047568,TRUE
100047570,TRUE
